Validation: [5][8/12]	Loss 0.1376 (0.1809)	Acc 0.999 (0.999)
Validation: [5][9/12]	Loss 0.2180 (0.1851)	Acc 0.999 (0.999)
Validation: [5][10/12]	Loss 0.1706 (0.1836)	Acc 0.999 (0.999)
Validation: [5][11/12]	Loss 0.3143 (0.1955)	Acc 0.999 (0.999)
Validation: [5][12/12]	Loss 0.1872 (0.1952)	Acc 0.999 (0.999)
Epoch: [6][1/35]	Loss 0.1104 (0.1104)	Acc 0.999 (0.999)
Epoch: [6][2/35]	Loss 0.2553 (0.1829)	Acc 1.000 (0.999)
Epoch: [6][3/35]	Loss 0.1531 (0.1729)	Acc 1.000 (0.999)
Epoch: [6][4/35]	Loss 0.1788 (0.1744)	Acc 0.999 (0.999)
Epoch: [6][5/35]	Loss 0.1318 (0.1659)	Acc 1.000 (0.999)
Epoch: [6][6/35]	Loss 0.1653 (0.1658)	Acc 0.999 (0.999)
Epoch: [6][7/35]	Loss 0.0889 (0.1548)	Acc 0.999 (0.999)
Epoch: [6][8/35]	Loss 0.1608 (0.1556)	Acc 0.999 (0.999)
Epoch: [6][9/35]	Loss 0.1669 (0.1568)	Acc 0.999 (0.999)
Epoch: [6][10/35]	Loss 0.1056 (0.1517)	Acc 0.999 (0.999)
Epoch: [6][11/35]	Loss 0.0720 (0.1444)	Acc 0.999 (0.999)
Epoch: [6][12/35]	Loss 0.1132 (0.1418)	Acc 0.999 (0.999)
Epoch: [6][13/35]	Loss 0.2020 (0.1465)	Acc 0.999 (0.999)
Epoch: [6][14/35]	Loss 0.1578 (0.1473)	Acc 0.999 (0.999)
Epoch: [6][15/35]	Loss 0.2082 (0.1513)	Acc 0.999 (0.999)
Epoch: [6][16/35]	Loss 0.1179 (0.1492)	Acc 0.999 (0.999)
Epoch: [6][17/35]	Loss 0.1113 (0.1470)	Acc 1.000 (0.999)
Epoch: [6][18/35]	Loss 0.1269 (0.1459)	Acc 1.000 (0.999)
Epoch: [6][19/35]	Loss 0.0832 (0.1426)	Acc 0.999 (0.999)
Epoch: [6][20/35]	Loss 0.0995 (0.1404)	Acc 0.999 (0.999)
Epoch: [6][21/35]	Loss 0.1038 (0.1387)	Acc 0.999 (0.999)
Epoch: [6][22/35]	Loss 0.0551 (0.1349)	Acc 0.999 (0.999)
Epoch: [6][23/35]	Loss 0.1799 (0.1369)	Acc 1.000 (0.999)
Epoch: [6][24/35]	Loss 0.1804 (0.1387)	Acc 0.999 (0.999)
Epoch: [6][25/35]	Loss 0.0569 (0.1354)	Acc 0.999 (0.999)
Epoch: [6][26/35]	Loss 0.0961 (0.1339)	Acc 0.999 (0.999)
Epoch: [6][27/35]	Loss 0.0821 (0.1320)	Acc 1.000 (0.999)
Epoch: [6][28/35]	Loss 0.0733 (0.1299)	Acc 1.000 (0.999)
Epoch: [6][29/35]	Loss 0.1447 (0.1304)	Acc 1.000 (0.999)
Epoch: [6][30/35]	Loss 0.0719 (0.1284)	Acc 1.000 (0.999)
Epoch: [6][31/35]	Loss 0.0806 (0.1269)	Acc 0.999 (0.999)
Epoch: [6][32/35]	Loss 0.0640 (0.1249)	Acc 0.999 (0.999)
Epoch: [6][33/35]	Loss 0.1474 (0.1256)	Acc 1.000 (0.999)
Epoch: [6][34/35]	Loss 0.1513 (0.1264)	Acc 1.000 (0.999)
Epoch: [6][35/35]	Loss 0.0200 (0.1262)	Acc 0.999 (0.999)
Validation: [6][1/12]	Loss 0.2254 (0.2254)	Acc 0.999 (0.999)
Validation: [6][2/12]	Loss 0.3110 (0.2682)	Acc 0.998 (0.999)
Validation: [6][3/12]	Loss 0.2876 (0.2746)	Acc 0.999 (0.999)
Validation: [6][4/12]	Loss 0.2206 (0.2611)	Acc 0.999 (0.999)
Validation: [6][5/12]	Loss 0.3208 (0.2731)	Acc 0.999 (0.999)
Validation: [6][6/12]	Loss 0.3074 (0.2788)	Acc 0.999 (0.999)
Validation: [6][7/12]	Loss 0.2842 (0.2796)	Acc 0.999 (0.999)
Validation: [6][8/12]	Loss 0.2189 (0.2720)	Acc 0.999 (0.999)
Validation: [6][9/12]	Loss 0.2938 (0.2744)	Acc 0.999 (0.999)
Validation: [6][10/12]	Loss 0.2540 (0.2724)	Acc 0.999 (0.999)
